date,experiment_name,preset,matchup,games_per_arm,baseline_win_rate,candidate_arm,candidate_win_rate,win_rate_delta,snipe_rate,gates_passed,promoted,notes
2026-08-05,isolate-allmatchups-500,isolate,all,500,0.946,b1,0.930,-0.016,0.0013,TRUE,FALSE,B1 alone passes gates but does not clearly improve tusk_mill; snipe rate drops sharply vs base
2026-08-05,isolate-allmatchups-500,isolate,all,500,0.946,a2,0.926,-0.020,0.0068,TRUE,FALSE,within ceiling
2026-08-05,isolate-allmatchups-500,isolate,all,500,0.946,a3,0.928,-0.018,0.0147,FALSE,FALSE,A3 alone breaches the true_self_snipe absolute ceiling (1.0%); the actual culprit behind the original v7 REJECT_CANDIDATE_MECHANISM_REGRESSION verdict
